Headline,Content
First UN solidarity flight departs Addis Ababa carrying vital COVID-19 medical supplies to...,Content
"More than 117 million children at risk of missing out on measles vaccines, as COVID-19 surges",
COVID-19 medical supply cargo for Afghanistan arrives at Hamid Karzai International Airport,
Mongolia: Supporting frontline workers in the COVID-19 response,
The Ministry of Health with support from WHO and partners scale-up response to COVID-19 in South Sudan,
PAHO Releases Guide for Journalists on COVID-19 Information Coverage,
Benin goes on digital offensive against COVID-19,
Romania: COVID-19 hotline provides up-to-date public advice with WHO support,
New WHO tools launched to help hospitals manage surge in COVID-19 patients,
Reconfiguring health systems vital to tackling COVID-19,
WHO delivers advice and support for older people during COVID-19,
"COVID-19 cases in Africa top 10,000",
PAHO Director calls for protection of health workers in face of the advancing COVID19 pandemic in the region of the Americas,
WHO and international partners act to support Lao PDR response to COVID-19,
World Bank and WHO scaling up readiness and response to COVID-19 in Yemen,
"As cases of COVID-19 increase rapidly in Somalia, operational readiness also scaled up to early detect and respond to community transmission",
Iraq produces COVID-19 laboratory supplies to more rapidly test cases,
Nigeria’s polio infrastructure bolsters COVID-19 response,
Health System Response Monitor: new tool to analyse COVID-19 response measures across European countries launched,
WHO and UNICEF to partner on pandemic response through COVID-19 Solidarity Response Fund,
Supporting older people during the COVID-19 pandemic is everyone’s business,
PAHO Director calls for private sector cooperation in COVID-19 response in the Americas,
Call to Action to Support COVID-19 Response - Polio Oversight Board Statement,
"IPA, WHO and UNICEF launch Read the World on International Children’s Book Day to support children and young people in isolation",
Statement by Regional Director Dr Ahmed Al-Mandhari on COVID-19 in the Eastern Mediterranean Region,
WHO continues to support the fight against coronavirus in Syria,
"Kyrgyzstan scaling up its preparedness, readiness and response capacities",
"Amid lockdowns in Africa, WHO launches online training for COVID-19 responders",
WHO in Africa holds first ‘hackathon’ for COVID-19,
Partners effectively coordinate to prepare for and respond to the COVID-19 outbreak in the Pacific,
Opening remarks by Regional Director Dr Takeshi Kasai at a press conference on COVID-19 in the Western Pacific Region,
The fight to contain COVID-19 in Iraq,
Time is of the essence - countries of the Americas must act now to slow the spread of COVID-19,
Measures against COVID-19 need to include refugees and migrants,
Protecting our COVID-19 frontline health workers,
Physical and mental health key to resilience during COVID-19 pandemic,
Algeria’s main lab anchors COVID-19 response,
Hand washing in areas with no running water - how to build a tippy tap,
WHO delegation concludes COVID-19 technical mission to Egypt,
WHO Director General's remarks Launch of Appeal: Global Humanitarian Response Plan - 25 March 2020,
WHO urges countries to ensure the continuity of malaria services in the context of the COVID-19 pandemic,
Ensuring continuity of TB services during the COVID-19 pandemic,
Preventing COVID-19 outbreak in prisons: a challenging but essential task for authorities,
Medical supplies support COVID-19 response in Islamic Republic of Iran,
Pass the message: Five steps to kicking out coronavirus,
"IFRC, IOM, UNHCR and WHO develop Interim Guidance on Scaling-up COVID-19 Outbreak in Readiness and Response Operations in Camps and Camp-like Settings",
More than 600 confirmed cases of COVID-19 in Africa,
Rapid Response Teams are racing against the spread of COVID in Africa,
Global solidarity across countries and continents needed to fight COVID-19,
Djibouti joins global action to prevent COVID-19 as first case is confirmed in the country,
PAHO Director to Health Ministers - “Reorganize health services to care for COVID-19 patients and save lives”,
UNSMIL appeals for ceasefire to strengthen COVID-19 response,
Every country needs to take boldest actions to stop COVID-19 (March 17),
Sierra Leone institutes additional measures in preparedness to prevent and respond to COVID-19,
"WHO calls for urgent, aggressive actions to combat COVID-19, as cases soar in South-East Asia Region",
WHO announces COVID-19 outbreak a pandemic,
Photo story: Chinese Emergency Medical Teams support COVID-19 response,
WHO statement on cases of COVID-19 surpassing 100 000,
"WHO emphasizes agile response capacities, as South-East Asia Region confirms more COVID-19 cases",
COVID-19 preventive measures during mass gatherings discussed with religious leaders and health officials in Iraq,
PAHO Prepares Barbados for COVID-19 Testing,
Statement by the Regional Director Dr Ahmed Al-Mandhari on COVID-19 in the Eastern Mediterranean,
"A tool to investigate outbreaks, Go.Data, is rolled out for COVID-19 in Latin America",
WHO team arrives in Tehran to support the COVID-19 response,
WHO extends support to Pakistan as it confirms its first two cases of COVID-19,
Africa gets ready to treat COVID-19 patients,
PAHO Director calls on countries of the Americas to intensify COVID-19 preparedness and response activities,
A second COVID-19 case is confirmed in Africa,
Joint WHO and ECDC mission in Italy to support COVID-19 control and prevention efforts,
Responding to the coronavirus disease 2019 (COVID-19) in Cambodia,
Pacific steps up preparedness against COVID-19,
How Ebola is helping the Democratic Republic of the Congo prepare for coronavirus disease,
Update on COVID-19 in the Eastern Mediterranean Region,
WHO Director-General's speech at the Munch Security Conference,
It is time for all of us to play our part in the fight against the novel coronavirus in the Pacific,
European Region focusing on readiness,
PAHO prepares 8 Caribbean countries for laboratory diagnosis of new coronavirus,
Well-prepared laboratories are first line of defence against novel coronavirus in Europe,
"New coronavirus: Fiocruz, Ministry of Health of Brazil and PAHO provide training in laboratory diagnosis in nine countries",
PAHO providing technical cooperation to countries on novel coronavirus,
The African region reinforces preparedness for novel coronavirus,
WHO confirms first case of novel coronavirus in the Eastern Mediterranean Region,
"Readiness is the key to detect, combat spread of the new coronavirus in South-East Asia Region",
WHO’s Eastern Mediterranean Region scales up preparedness for novel coronavirus,
Coronavirus outbreak shows Asia needs to step up infection preparation,
"WHO statement regarding cluster of pneumonia cases in Wuhan, China",
